state,to_move,layer,P(X wins),P(O wins),P(draws)
-101100000,O,3,0.5333333333333333,0.26666666666666666,0.19999999999999998
-110000001,O,3,0.4611111111111111,0.23888888888888885,0.3
-110000010,O,3,0.5333333333333333,0.4166666666666667,0.05000000000000001
-110000100,O,3,0.5333333333333333,0.26666666666666666,0.20000000000000004
-110001000,O,3,0.4611111111111111,0.4388888888888889,0.10000000000000002
-110010000,O,3,0.6833333333333335,0.16666666666666666,0.15
-110100000,O,3,0.43333333333333335,0.31666666666666665,0.25
-111000000,O,3,0.3944444444444444,0.45555555555555555,0.15
0-10000011,O,3,0.6833333333333332,0.21666666666666667,0.09999999999999999
0-10000101,O,3,0.7111111111111111,0.2888888888888889,0.0
0-10000110,O,3,0.6833333333333335,0.21666666666666667,0.10000000000000002
0-10001001,O,3,0.6611111111111113,0.33888888888888885,0.0
0-10001010,O,3,0.5111111111111111,0.2888888888888889,0.19999999999999996
0-10001100,O,3,0.5388888888888889,0.3611111111111111,0.10000000000000002
0-10010001,O,3,0.7611111111111112,0.18888888888888888,0.05000000000000001
0-10010010,O,3,0.5444444444444444,0.2555555555555556,0.19999999999999998
0-10010100,O,3,0.7611111111111111,0.18888888888888888,0.05000000000000001
0-10011000,O,3,0.7333333333333334,0.16666666666666666,0.10000000000000002
0-10100001,O,3,0.5388888888888889,0.3611111111111111,0.10000000000000002
0-10100010,O,3,0.5111111111111111,0.2888888888888889,0.19999999999999996
0-10100100,O,3,0.6611111111111111,0.33888888888888885,0.0
0-10101000,O,3,0.561111111111111,0.3888888888888889,0.05000000000000001
0-10110000,O,3,0.7333333333333334,0.16666666666666666,0.09999999999999999
0-11000001,O,3,0.7333333333333334,0.16666666666666666,0.10000000000000002
0-11000010,O,3,0.5833333333333334,0.11666666666666665,0.3
0-11000100,O,3,0.7111111111111111,0.2388888888888889,0.05000000000000001
0-11001000,O,3,0.6333333333333334,0.21666666666666665,0.15000000000000002
0-11010000,O,3,0.7833333333333333,0.06666666666666667,0.15
0-11100000,O,3,0.5611111111111112,0.2388888888888889,0.19999999999999996
00-1000011,O,3,0.6333333333333333,0.3666666666666667,0.0
00-1000101,O,3,0.6333333333333333,0.16666666666666666,0.19999999999999998
00-1000110,O,3,0.5611111111111111,0.33888888888888885,0.10000000000000002
00-1001001,O,3,0.39444444444444443,0.45555555555555555,0.15000000000000002
00-1001010,O,3,0.4611111111111111,0.4388888888888889,0.10000000000000002
00-1001100,O,3,0.4611111111111111,0.2388888888888889,0.3
00-1010001,O,3,0.7111111111111111,0.18888888888888888,0.10000000000000002
00-1010010,O,3,0.6611111111111111,0.28888888888888886,0.05000000000000001
00-1010100,O,3,0.4888888888888889,0.31111111111111106,0.19999999999999998
00-1011000,O,3,0.6833333333333332,0.16666666666666666,0.15
00-1100001,O,3,0.5111111111111111,0.3888888888888889,0.10000000000000002
00-1100010,O,3,0.4388888888888889,0.5611111111111111,0.0
00-1100100,O,3,0.561111111111111,0.33888888888888885,0.10000000000000002
00-1101000,O,3,0.5333333333333333,0.4166666666666667,0.05000000000000001
00-1110000,O,3,0.6611111111111112,0.2888888888888889,0.05000000000000001
000-100011,O,3,0.6611111111111111,0.33888888888888885,0.0
000-100101,O,3,0.7333333333333334,0.16666666666666666,0.10000000000000002
000-100110,O,3,0.6333333333333334,0.21666666666666665,0.15000000000000002
000-101001,O,3,0.6833333333333332,0.21666666666666667,0.10000000000000002
000-101010,O,3,0.5111111111111111,0.2888888888888889,0.19999999999999998
000-101100,O,3,0.5833333333333334,0.11666666666666665,0.3
000-110001,O,3,0.7611111111111111,0.18888888888888888,0.05000000000000001
000-110010,O,3,0.7333333333333333,0.16666666666666666,0.09999999999999999
000-110100,O,3,0.7833333333333333,0.06666666666666667,0.15
000-111000,O,3,0.5444444444444444,0.2555555555555556,0.19999999999999998
0000-10011,O,3,0.5333333333333333,0.3666666666666667,0.10000000000000002
0000-10101,O,3,0.5611111111111111,0.28888888888888886,0.15
0000-10110,O,3,0.5333333333333333,0.3666666666666667,0.10000000000000002
0000-11001,O,3,0.5333333333333333,0.36666666666666664,0.10000000000000002
