state,to_move,layer,P(X wins),P(O wins),P(draws)
XO.XOX..O,X,6,0.5000000000,0.1666666667,0.3333333333
XO.XOX...,O,5,0.2500000000,0.5833333333,0.1666666667
XO.XO.X..,O,5,1.0000000000,0.0000000000,0.0000000000
XO.XOOXX.,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XOOOXX,X,8,0.0000000000,0.0000000000,1.0000000000
XO.XOO.XX,O,7,0.5000000000,0.0000000000,0.5000000000
XO.XOO.X.,X,6,0.6666666667,0.0000000000,0.3333333333
XO.XO.OXX,O,7,0.0000000000,0.5000000000,0.5000000000
XO.XO.OX.,X,6,0.0000000000,0.3333333333,0.6666666667
XO.XO.XXO,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XO..XO,X,6,0.6666666667,0.0000000000,0.3333333333
XO.XO..X.,O,5,0.5000000000,0.1666666667,0.3333333333
XO.XOOX.X,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XOO..X,X,6,0.5000000000,0.1666666667,0.3333333333
XO.XO.O.X,X,6,0.0000000000,0.6666666667,0.3333333333
XO.XO..OX,X,6,0.0000000000,1.0000000000,0.0000000000
XO.XO...X,O,5,0.2500000000,0.5833333333,0.1666666667
XO.XO....,X,4,0.4500000000,0.3500000000,0.2000000000
XO.XXOOXO,X,8,0.0000000000,0.0000000000,1.0000000000
XO.XXOOX.,O,7,0.5000000000,0.0000000000,0.5000000000
XO.XXOO.X,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XXOO..,X,6,0.6666666667,0.0000000000,0.3333333333
XO.XXOXO.,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XXO.OX,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XXO.O.,X,6,1.0000000000,0.0000000000,0.0000000000
XO.XXOX.O,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XXO.XO,O,7,0.0000000000,0.5000000000,0.5000000000
XO.XXO..O,X,6,0.5000000000,0.1666666667,0.3333333333
XO.XXO...,O,5,0.7500000000,0.0833333333,0.1666666667
XO.X.OX..,O,5,1.0000000000,0.0000000000,0.0000000000
XO.X.OOXX,O,7,0.5000000000,0.0000000000,0.5000000000
XO.X.OOX.,X,6,0.3333333333,0.0000000000,0.6666666667
XO.X.OXXO,O,7,1.0000000000,0.0000000000,0.0000000000
XO.X.O.XO,X,6,0.5000000000,0.1666666667,0.3333333333
XO.X.O.X.,O,5,0.5833333333,0.0833333333,0.3333333333
XO.X.OO.X,X,6,0.6666666667,0.0000000000,0.3333333333
XO.X.OXOX,O,7,1.0000000000,0.0000000000,0.0000000000
XO.X.O.OX,X,6,0.8333333333,0.1666666667,0.0000000000
XO.X.O..X,O,5,0.7500000000,0.0833333333,0.1666666667
XO.X.O...,X,4,0.7333333333,0.0666666667,0.2000000000
XO.XXXOO.,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XX.OOX,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XX.OO.,X,6,0.8333333333,0.1666666667,0.0000000000
XO.XXXO.O,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XX.OXO,O,7,0.5000000000,0.0000000000,0.5000000000
XO.XX.O.O,X,6,0.5000000000,0.1666666667,0.3333333333
XO.XX.O..,O,5,0.7500000000,0.0833333333,0.1666666667
XO.X.XOOX,O,7,0.5000000000,0.5000000000,0.0000000000
XO.X.XOO.,X,6,0.5000000000,0.5000000000,0.0000000000
XO.X.XOXO,O,7,0.5000000000,0.0000000000,0.5000000000
XO.X.XO.O,X,6,0.5000000000,0.1666666667,0.3333333333
XO.X.XO..,O,5,0.4166666667,0.4166666667,0.1666666667
XO.X..OXO,X,6,0.3333333333,0.0000000000,0.6666666667
XO.X..OX.,O,5,0.3333333333,0.1666666667,0.5000000000
XO.X..OOX,X,6,0.6666666667,0.3333333333,0.0000000000
XO.X..O.X,O,5,0.5000000000,0.3333333333,0.1666666667
XO.X..O..,X,4,0.4333333333,0.2666666667,0.3000000000
XO.XXX.OO,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XX.XOO,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XX..OO,X,6,0.8333333333,0.1666666667,0.0000000000
XO.XX..O.,O,5,0.9166666667,0.0833333333,0.0000000000
XO.X.XXOO,O,7,1.0000000000,0.0000000000,0.0000000000
XO.X.X.OO,X,6,0.6666666667,0.3333333333,0.0000000000
XO.X.X.O.,O,5,0.5000000000,0.5000000000,0.0000000000
XO.X..XO.,O,5,1.0000000000,0.0000000000,0.0000000000
XO.X...OX,O,5,0.5833333333,0.4166666667,0.0000000000
XO.X...O.,X,4,0.6833333333,0.3166666667,0.0000000000
XO.XX...O,O,5,0.6666666667,0.1666666667,0.1666666667
XO.X.X..O,O,5,0.6666666667,0.1666666667,0.1666666667
XO.X..X.O,O,5,1.0000000000,0.0000000000,0.0000000000
XO.X...XO,O,5,0.5833333333,0.0833333333,0.3333333333
XO.X....O,X,4,0.6666666667,0.1333333333,0.2000000000
XO.X.....,O,3,0.6333333333,0.2166666667,0.1500000000
XOOOXXXOX,O,9,1.0000000000,0.0000000000,0.0000000000
XOOOXXXO.,X,8,1.0000000000,0.0000000000,0.0000000000
XOOOXXXXO,O,9,0.0000000000,0.0000000000,1.0000000000
XOOOXXX.O,X,8,0.0000000000,0.0000000000,1.0000000000
XOOOXXX..,O,7,0.5000000000,0.0000000000,0.5000000000
XOOOXXOXX,O,9,1.0000000000,0.0000000000,0.0000000000
XOOOXXOX.,X,8,1.0000000000,0.0000000000,0.0000000000
XOOOXX.XO,X,8,0.0000000000,0.0000000000,1.0000000000
XOOOXX.X.,O,7,0.5000000000,0.0000000000,0.5000000000
XOOOXX..X,O,7,1.0000000000,0.0000000000,0.0000000000
XOOOXX...,X,6,0.6666666667,0.0000000000,0.3333333333
XOO.XXOXO,X,8,1.0000000000,0.0000000000,0.0000000000
XOO.XXOX.,O,7,1.0000000000,0.0000000000,0.0000000000
XOO.XXO.X,O,7,1.0000000000,0.0000000000,0.0000000000
XOO.XXO..,X,6,1.0000000000,0.0000000000,0.0000000000
XOOXXXXOO,O,9,1.0000000000,0.0000000000,0.0000000000
