idx,cluster,ply,to_move,image
169,8,5,O,layout_moves_05ply_00011_00272_O.png
170,8,5,O,layout_moves_05ply_00011_00288_O.png
171,4,5,O,layout_moves_05ply_00013_00018_O.png
172,6,5,O,layout_moves_05ply_00013_00034_O.png
173,3,5,O,layout_moves_05ply_00013_00048_O.png
174,6,5,O,layout_moves_05ply_00013_00066_O.png
175,9,5,O,layout_moves_05ply_00013_00080_O.png
176,7,5,O,layout_moves_05ply_00013_00096_O.png
177,0,5,O,layout_moves_05ply_00013_00130_O.png
178,9,5,O,layout_moves_05ply_00013_00144_O.png
179,2,5,O,layout_moves_05ply_00013_00160_O.png
180,6,5,O,layout_moves_05ply_00013_00192_O.png
181,6,5,O,layout_moves_05ply_00013_00258_O.png
182,3,5,O,layout_moves_05ply_00013_00272_O.png
183,2,5,O,layout_moves_05ply_00013_00288_O.png
184,6,5,O,layout_moves_05ply_00013_00320_O.png
185,3,5,O,layout_moves_05ply_00013_00384_O.png
186,4,5,O,layout_moves_05ply_00014_00017_O.png
187,2,5,O,layout_moves_05ply_00014_00033_O.png
188,1,5,O,layout_moves_05ply_00014_00048_O.png
189,5,5,O,layout_moves_05ply_00014_00065_O.png
190,8,5,O,layout_moves_05ply_00014_00080_O.png
191,7,5,O,layout_moves_05ply_00014_00096_O.png
192,0,5,O,layout_moves_05ply_00014_00129_O.png
193,1,5,O,layout_moves_05ply_00014_00144_O.png
194,0,5,O,layout_moves_05ply_00014_00160_O.png
195,7,5,O,layout_moves_05ply_00014_00192_O.png
196,6,5,O,layout_moves_05ply_00014_00257_O.png
197,4,5,O,layout_moves_05ply_00014_00272_O.png
198,0,5,O,layout_moves_05ply_00014_00288_O.png
199,5,5,O,layout_moves_05ply_00014_00320_O.png
200,0,5,O,layout_moves_05ply_00014_00384_O.png
201,9,5,O,layout_moves_05ply_00019_00012_O.png
202,4,5,O,layout_moves_05ply_00019_00036_O.png
203,1,5,O,layout_moves_05ply_00019_00040_O.png
204,9,5,O,layout_moves_05ply_00019_00068_O.png
205,4,5,O,layout_moves_05ply_00019_00072_O.png
206,4,5,O,layout_moves_05ply_00019_00096_O.png
207,4,5,O,layout_moves_05ply_00019_00132_O.png
208,1,5,O,layout_moves_05ply_00019_00136_O.png
209,1,5,O,layout_moves_05ply_00019_00160_O.png
210,4,5,O,layout_moves_05ply_00019_00192_O.png
211,5,5,O,layout_moves_05ply_00019_00260_O.png
212,8,5,O,layout_moves_05ply_00019_00264_O.png
213,8,5,O,layout_moves_05ply_00019_00288_O.png
214,5,5,O,layout_moves_05ply_00019_00320_O.png
215,8,5,O,layout_moves_05ply_00019_00384_O.png
216,4,5,O,layout_moves_05ply_00021_00010_O.png
217,3,5,O,layout_moves_05ply_00021_00040_O.png
218,9,5,O,layout_moves_05ply_00021_00066_O.png
219,9,5,O,layout_moves_05ply_00021_00072_O.png
220,9,5,O,layout_moves_05ply_00021_00096_O.png
221,4,5,O,layout_moves_05ply_00021_00130_O.png
222,3,5,O,layout_moves_05ply_00021_00136_O.png
223,3,5,O,layout_moves_05ply_00021_00192_O.png
224,9,5,O,layout_moves_05ply_00021_00320_O.png
225,4,5,O,layout_moves_05ply_00026_00005_O.png
226,1,5,O,layout_moves_05ply_00026_00033_O.png
227,1,5,O,layout_moves_05ply_00026_00036_O.png
228,8,5,O,layout_moves_05ply_00026_00068_O.png
229,1,5,O,layout_moves_05ply_00026_00096_O.png
230,1,5,O,layout_moves_05ply_00026_00160_O.png
231,8,5,O,layout_moves_05ply_00026_00257_O.png
232,9,5,O,layout_moves_05ply_00026_00260_O.png
233,1,5,O,layout_moves_05ply_00026_00288_O.png
234,4,5,O,layout_moves_05ply_00028_00003_O.png
235,3,5,O,layout_moves_05ply_00028_00033_O.png
236,1,5,O,layout_moves_05ply_00028_00034_O.png
237,5,5,O,layout_moves_05ply_00028_00065_O.png
238,8,5,O,layout_moves_05ply_00028_00066_O.png
239,7,5,O,layout_moves_05ply_00028_00096_O.png
240,4,5,O,layout_moves_05ply_00028_00129_O.png
241,1,5,O,layout_moves_05ply_00028_00130_O.png
242,1,5,O,layout_moves_05ply_00028_00160_O.png
243,7,5,O,layout_moves_05ply_00028_00192_O.png
244,9,5,O,layout_moves_05ply_00028_00257_O.png
245,9,5,O,layout_moves_05ply_00028_00258_O.png
246,4,5,O,layout_moves_05ply_00028_00288_O.png
247,5,5,O,layout_moves_05ply_00028_00320_O.png
248,4,5,O,layout_moves_05ply_00028_00384_O.png
249,0,5,O,layout_moves_05ply_00041_00006_O.png
250,8,5,O,layout_moves_05ply_00041_00018_O.png
251,4,5,O,layout_moves_05ply_00041_00020_O.png
252,6,5,O,layout_moves_05ply_00041_00066_O.png
253,2,5,O,layout_moves_05ply_00041_00068_O.png
254,4,5,O,layout_moves_05ply_00041_00080_O.png
255,0,5,O,layout_moves_05ply_00041_00130_O.png
256,0,5,O,layout_moves_05ply_00041_00132_O.png
257,1,5,O,layout_moves_05ply_00041_00144_O.png
