position,outcome,rank,frequency_index,normalized_frequency,magnitude,series_length
5,p_draw,2,2,0.0011409013120365088,0.05248322567736179,1753
5,p_draw,3,32,0.01825442099258414,0.027312305695663223,1753
5,p_draw,4,3,0.0017113519680547631,0.026362196734552933,1753
5,p_draw,5,31,0.017683970336565887,0.016886984599903423,1753
6,p_x_win,1,1,0.00055005500550055,0.16519512004025938,1818
6,p_x_win,2,2,0.0011001100110011,0.11819196037806426,1818
6,p_x_win,3,3,0.0016501650165016502,0.0719879306897028,1818
6,p_x_win,4,4,0.0022002200220022,0.03458217053549966,1818
6,p_x_win,5,5,0.00275027502750275,0.03014707956725796,1818
6,p_o_win,1,1,0.00055005500550055,0.10499964619217707,1818
6,p_o_win,2,2,0.0011001100110011,0.07159221383925486,1818
6,p_o_win,3,3,0.0016501650165016502,0.05287911111687948,1818
6,p_o_win,4,4,0.0022002200220022,0.03682779755398515,1818
6,p_o_win,5,8,0.0044004400440044,0.032545055894840295,1818
6,p_draw,1,1,0.00055005500550055,0.060719312782347566,1818
6,p_draw,2,2,0.0011001100110011,0.046867539524170526,1818
6,p_draw,3,3,0.0016501650165016502,0.02570414078229506,1818
6,p_draw,4,46,0.025302530253025302,0.020497940295352957,1818
6,p_draw,5,40,0.022002200220022,0.01756129496560234,1818
7,p_x_win,1,1,0.0005704506560182544,0.1542104191719898,1753
7,p_x_win,2,2,0.0011409013120365088,0.11231880757636821,1753
7,p_x_win,3,3,0.0017113519680547631,0.07502199002942801,1753
7,p_x_win,4,4,0.0022818026240730175,0.040438549597838304,1753
7,p_x_win,5,5,0.002852253280091272,0.03386396079702938,1753
7,p_o_win,1,1,0.0005704506560182544,0.09757875487608604,1753
7,p_o_win,2,2,0.0011409013120365088,0.05716499178542578,1753
7,p_o_win,3,3,0.0017113519680547631,0.054535711687695713,1753
7,p_o_win,4,8,0.004563605248146035,0.04314868536214787,1753
7,p_o_win,5,4,0.0022818026240730175,0.03947956542660972,1753
7,p_draw,1,1,0.0005704506560182544,0.057037500298221584,1753
7,p_draw,2,2,0.0011409013120365088,0.0551600249770886,1753
7,p_draw,3,3,0.0017113519680547631,0.02698535370439027,1753
7,p_draw,4,11,0.006274957216200798,0.02132927925106882,1753
7,p_draw,5,10,0.005704506560182544,0.02092756154219937,1753
8,p_x_win,1,1,0.00055005500550055,0.16519512004025938,1818
8,p_x_win,2,2,0.0011001100110011,0.11819196037806426,1818
8,p_x_win,3,3,0.0016501650165016502,0.0719879306897028,1818
8,p_x_win,4,4,0.0022002200220022,0.03458217053549966,1818
8,p_x_win,5,5,0.00275027502750275,0.03014707956725796,1818
8,p_o_win,1,1,0.00055005500550055,0.1052699002889233,1818
8,p_o_win,2,2,0.0011001100110011,0.06945661225582253,1818
8,p_o_win,3,3,0.0016501650165016502,0.0538360746608072,1818
8,p_o_win,4,8,0.0044004400440044,0.04184386226046762,1818
8,p_o_win,5,4,0.0022002200220022,0.03582078972742337,1818
8,p_draw,1,1,0.00055005500550055,0.060569132306656184,1818
8,p_draw,2,2,0.0011001100110011,0.04893206367771764,1818
8,p_draw,3,3,0.0016501650165016502,0.028413402425664397,1818
8,p_draw,4,8,0.0044004400440044,0.015651469027754866,1818
8,p_draw,5,50,0.0275027502750275,0.015276914687736282,1818
